model;forecast_date;state_date;param_name;param_value
patchtst_global;2021-09-30;2021-06-30;d_model;64.0
patchtst_global;2021-09-30;2021-06-30;num_layers;2.0
patchtst_global;2021-09-30;2021-06-30;dropout;0.1
patchtst_global;2021-09-30;2021-06-30;lr;0.001
patchtst_global;2021-09-30;2021-06-30;weight_decay;0.0001
patchtst_global;2021-12-31;2021-09-30;d_model;64.0
patchtst_global;2021-12-31;2021-09-30;num_layers;2.0
patchtst_global;2021-12-31;2021-09-30;dropout;0.1
patchtst_global;2021-12-31;2021-09-30;lr;0.001
patchtst_global;2021-12-31;2021-09-30;weight_decay;0.0001
patchtst_global;2022-03-31;2021-12-31;d_model;64.0
patchtst_global;2022-03-31;2021-12-31;num_layers;2.0
patchtst_global;2022-03-31;2021-12-31;dropout;0.1
patchtst_global;2022-03-31;2021-12-31;lr;0.001
patchtst_global;2022-03-31;2021-12-31;weight_decay;0.0001
patchtst_global;2022-06-30;2022-03-31;d_model;64.0
patchtst_global;2022-06-30;2022-03-31;num_layers;2.0
patchtst_global;2022-06-30;2022-03-31;dropout;0.1
patchtst_global;2022-06-30;2022-03-31;lr;0.001
patchtst_global;2022-06-30;2022-03-31;weight_decay;0.0001
patchtst_global;2022-09-30;2022-06-30;d_model;96.0
patchtst_global;2022-09-30;2022-06-30;num_layers;3.0
patchtst_global;2022-09-30;2022-06-30;dropout;0.1
patchtst_global;2022-09-30;2022-06-30;lr;0.0007
patchtst_global;2022-09-30;2022-06-30;weight_decay;0.0001
patchtst_global;2022-12-31;2022-09-30;d_model;64.0
patchtst_global;2022-12-31;2022-09-30;num_layers;2.0
patchtst_global;2022-12-31;2022-09-30;dropout;0.1
patchtst_global;2022-12-31;2022-09-30;lr;0.001
patchtst_global;2022-12-31;2022-09-30;weight_decay;0.0001
patchtst_global;2023-03-31;2022-12-31;d_model;64.0
patchtst_global;2023-03-31;2022-12-31;num_layers;2.0
patchtst_global;2023-03-31;2022-12-31;dropout;0.1
patchtst_global;2023-03-31;2022-12-31;lr;0.001
patchtst_global;2023-03-31;2022-12-31;weight_decay;0.0001
patchtst_global;2023-06-30;2023-03-31;d_model;96.0
patchtst_global;2023-06-30;2023-03-31;num_layers;3.0
patchtst_global;2023-06-30;2023-03-31;dropout;0.1
patchtst_global;2023-06-30;2023-03-31;lr;0.0007
patchtst_global;2023-06-30;2023-03-31;weight_decay;0.0001
patchtst_global;2023-09-30;2023-06-30;d_model;96.0
patchtst_global;2023-09-30;2023-06-30;num_layers;3.0
patchtst_global;2023-09-30;2023-06-30;dropout;0.1
patchtst_global;2023-09-30;2023-06-30;lr;0.0007
patchtst_global;2023-09-30;2023-06-30;weight_decay;0.0001
patchtst_global;2023-12-31;2023-09-30;d_model;64.0
patchtst_global;2023-12-31;2023-09-30;num_layers;2.0
patchtst_global;2023-12-31;2023-09-30;dropout;0.1
patchtst_global;2023-12-31;2023-09-30;lr;0.001
patchtst_global;2023-12-31;2023-09-30;weight_decay;0.0001
patchtst_global;2024-03-31;2023-12-31;d_model;64.0
patchtst_global;2024-03-31;2023-12-31;num_layers;2.0
patchtst_global;2024-03-31;2023-12-31;dropout;0.1
patchtst_global;2024-03-31;2023-12-31;lr;0.001
patchtst_global;2024-03-31;2023-12-31;weight_decay;0.0001
patchtst_global;2024-06-30;2024-03-31;d_model;96.0
patchtst_global;2024-06-30;2024-03-31;num_layers;3.0
patchtst_global;2024-06-30;2024-03-31;dropout;0.1
patchtst_global;2024-06-30;2024-03-31;lr;0.0007
patchtst_global;2024-06-30;2024-03-31;weight_decay;0.0001
patchtst_global;2024-09-30;2024-06-30;d_model;64.0
patchtst_global;2024-09-30;2024-06-30;num_layers;2.0
patchtst_global;2024-09-30;2024-06-30;dropout;0.1
patchtst_global;2024-09-30;2024-06-30;lr;0.001
patchtst_global;2024-09-30;2024-06-30;weight_decay;0.0001
patchtst_global;2024-12-31;2024-09-30;d_model;96.0
patchtst_global;2024-12-31;2024-09-30;num_layers;3.0
patchtst_global;2024-12-31;2024-09-30;dropout;0.1
patchtst_global;2024-12-31;2024-09-30;lr;0.0007
patchtst_global;2024-12-31;2024-09-30;weight_decay;0.0001
patchtst_global;2025-03-31;2024-12-31;d_model;96.0
patchtst_global;2025-03-31;2024-12-31;num_layers;3.0
patchtst_global;2025-03-31;2024-12-31;dropout;0.1
patchtst_global;2025-03-31;2024-12-31;lr;0.0007
patchtst_global;2025-03-31;2024-12-31;weight_decay;0.0001
patchtst_global;2025-06-30;2025-03-31;d_model;64.0
patchtst_global;2025-06-30;2025-03-31;num_layers;2.0
patchtst_global;2025-06-30;2025-03-31;dropout;0.1
patchtst_global;2025-06-30;2025-03-31;lr;0.001
patchtst_global;2025-06-30;2025-03-31;weight_decay;0.0001
patchtst_global;2025-09-30;2025-06-30;d_model;64.0
patchtst_global;2025-09-30;2025-06-30;num_layers;2.0
patchtst_global;2025-09-30;2025-06-30;dropout;0.1
patchtst_global;2025-09-30;2025-06-30;lr;0.001
patchtst_global;2025-09-30;2025-06-30;weight_decay;0.0001
