month_end;model;n_assets;mse;mae;spearman_rank_corr;state_date;q;obs_var;state_infl_high;state_dd_stress;alpha;l1_ratio;window
2019-06-30;patchtst_global;222;0.039786;0.142869;-0.068014;2019-03-31;;;0.0;0.0;;;
2019-09-30;patchtst_global;222;0.023995;0.104331;-0.055996;2019-06-30;;;0.0;0.0;;;
2019-12-31;patchtst_global;223;0.048775;0.17924;0.106595;2019-09-30;;;0.0;0.0;;;
2020-03-31;patchtst_global;221;0.063094;0.180426;0.233771;2019-12-31;;;1.0;1.0;;;
2020-06-30;patchtst_global;223;0.046881;0.140635;0.111397;2020-03-31;;;0.0;1.0;;;
2020-09-30;patchtst_global;216;0.042624;0.155858;-0.29972;2020-06-30;;;0.0;0.0;;;
2020-12-31;patchtst_global;218;0.045342;0.154321;-0.123262;2020-09-30;;;1.0;0.0;;;
2021-03-31;patchtst_global;218;0.035192;0.14867;-0.002359;2020-12-31;;;1.0;0.0;;;
2021-06-30;patchtst_global;217;0.062079;0.160328;-0.042352;2021-03-31;;;1.0;0.0;;;
2021-09-30;patchtst_global;216;0.044437;0.132632;0.09023;2021-06-30;;;1.0;0.0;;;
2021-12-31;patchtst_global;214;0.058749;0.207516;0.031837;2021-09-30;;;1.0;0.0;;;
2022-03-31;patchtst_global;215;0.043747;0.148093;-0.04909;2021-12-31;;;1.0;1.0;;;
2022-06-30;patchtst_global;215;0.023767;0.122879;0.151269;2022-03-31;;;0.0;1.0;;;
2022-09-30;patchtst_global;213;0.155855;0.354208;-0.050132;2022-06-30;;;0.0;1.0;;;
2022-12-31;patchtst_global;211;0.163329;0.28324;0.202599;2022-09-30;;;1.0;1.0;;;
2023-03-31;patchtst_global;213;0.150695;0.330186;-0.145476;2022-12-31;;;0.0;1.0;;;
2023-06-30;patchtst_global;212;0.177069;0.351036;0.370843;2023-03-31;;;0.0;1.0;;;
2023-09-30;patchtst_global;217;0.49331;0.631528;-0.522874;2023-06-30;;;1.0;1.0;;;
2023-12-31;patchtst_global;216;0.201761;0.381144;-0.277995;2023-09-30;;;0.0;1.0;;;
2024-03-31;patchtst_global;214;0.046373;0.190983;-0.256459;2023-12-31;;;0.0;1.0;;;
2024-06-30;patchtst_global;214;0.029165;0.123616;0.07548;2024-03-31;;;0.0;1.0;;;
2024-09-30;patchtst_global;212;0.025916;0.129405;-0.129796;2024-06-30;;;0.0;1.0;;;
2024-12-31;patchtst_global;211;0.030613;0.12403;-0.029388;2024-09-30;;;1.0;1.0;;;
2025-03-31;patchtst_global;211;0.066658;0.234968;-0.216554;2024-12-31;;;0.0;1.0;;;
2025-06-30;patchtst_global;214;0.028863;0.124855;0.299946;2025-03-31;;;0.0;1.0;;;
2025-09-30;patchtst_global;219;0.016263;0.094049;-0.110889;2025-06-30;;;0.0;1.0;;;
