strategy;forecast_date;month_end;state_date;model_requested;model_used;expected_return;portfolio_return;n_assets;max_weight;weight_sum;expected_col;state_infl_high;state_vol_high_auto;state_dd_stress
selector_composite;2024-03-31;2024-03-31;2023-12-31;kalman_tvp;kalman_tvp;0.06136537;-0.08388447;9;0.15;1.0;prediction_scaled;0.0;0.0;1.0
selector_composite;2024-06-30;2024-06-30;2024-03-31;elastic_net;elastic_net;0.01716733;-0.08465545;8;0.15;1.0;prediction_scaled;0.0;0.0;1.0
selector_composite;2024-09-30;2024-09-30;2024-06-30;lasso;lasso;-0.0341633;-0.13991804;9;0.15;1.0;prediction_scaled;0.0;0.0;1.0
selector_composite;2024-12-31;2024-12-31;2024-09-30;ols;ols;-0.04370808;0.10252485;9;0.15;1.0;prediction_scaled;1.0;0.0;1.0
selector_composite;2025-03-31;2025-03-31;2024-12-31;kalman_tvp;kalman_tvp;0.09670478;-0.07467192;9;0.15;1.0;prediction_scaled;0.0;1.0;1.0
selector_composite;2025-06-30;2025-06-30;2025-03-31;lasso;lasso;0.05592077;0.02246203;7;0.15;1.0;prediction_scaled;0.0;0.0;1.0
selector_composite;2025-09-30;2025-09-30;2025-06-30;lasso;lasso;-0.00198524;-0.02398873;10;0.15;1.0;prediction_scaled;0.0;0.0;1.0
selector_rule_based;2018-12-31;2018-12-31;2018-09-30;catboost_lags_regimes;catboost_lags_regimes;0.09852298;0.4942002;10;0.15;1.0;prediction_scaled;1.0;0.0;0.0
selector_rule_based;2019-03-31;2019-03-31;2018-12-31;ridge;ridge;-0.01628616;0.01311081;12;0.15;1.0;prediction_scaled;0.0;0.0;0.0
selector_rule_based;2019-06-30;2019-06-30;2019-03-31;ridge;ridge;0.02065569;0.07906152;12;0.15;1.0;prediction_scaled;0.0;0.0;0.0
selector_rule_based;2019-09-30;2019-09-30;2019-06-30;ridge;ridge;0.01127536;0.02970353;11;0.15;1.0;prediction_scaled;0.0;0.0;0.0
selector_rule_based;2019-12-31;2019-12-31;2019-09-30;ridge;ridge;-0.00016171;0.05388319;11;0.15;1.0;prediction_scaled;0.0;0.0;0.0
selector_rule_based;2020-03-31;2020-03-31;2019-12-31;patchtst_global;patchtst_global;0.01850793;0.22570977;10;0.15;1.0;prediction_scaled;1.0;0.0;1.0
selector_rule_based;2020-06-30;2020-06-30;2020-03-31;patchtst_global;patchtst_global;0.11092641;0.25409856;9;0.15;1.0;prediction_scaled;0.0;0.0;1.0
